pd_bucket,avg_predicted_pd,observed_bad_rate,accounts
"(0.00033, 0.00828]",0.006095519886749917,0.009592596772373322,8861
"(0.00828, 0.0106]",0.009355770862184986,0.008271108558299827,8705
"(0.0106, 0.0154]",0.013521192424687613,0.014479739589179481,8909
"(0.0154, 0.0183]",0.017024892337585387,0.014891179839633447,8730
"(0.0183, 0.0235]",0.021353572204352706,0.023400243983586557,9017
"(0.0235, 0.0291]",0.026265111068229027,0.02682131206959043,8277
"(0.0291, 0.0336]",0.03169097662290984,0.02992957746478873,9656
"(0.0336, 0.0428]",0.03891088833016661,0.03840209249791939,8411
"(0.0428, 0.0564]",0.048326572159888094,0.04573804573804574,8177
"(0.0564, 0.318]",0.09086657070622266,0.0912,8750
