variable,info_value,iv_bucket
on_us_max_dpd,2.10431823804906,Suspicious
on_us_avg_dpd,1.9304958422217573,Suspicious
avg_instalment_remaining,0.2649094320106339,Strong
num_approved,0.14695830140239613,Strong
min_credit_grant_ratio,0.14476360636207927,Strong
num_prev_apps,0.11631565789687567,Strong
insurance_rate,0.08750018212642173,Medium
avg_credit_grant_ratio,0.0723362163686361,Medium
age_years,0.060604633747677834,Medium
rejection_rate,0.05297916774977496,Medium
num_refused,0.05289218445100634,Medium
approval_rate,0.04899679379543339,Medium
avg_prev_term,0.04625201525954408,Medium
days_since_last_application,0.03356296956779707,Medium
max_prev_term,0.02736328382477607,Medium
total_30dpd_l12m,0.02263123240894717,Medium
max_dpd_l12m,0.02263123240894717,Medium
avg_credit_age_years,0.021711087434082003,Medium
employment_years,0.017421801931578794,Weak
employment_age_ratio,0.01571448726436589,Weak
document_count,0.013507639424019708,Weak
max_credit_amt,0.011976197297708987,Weak
per_capita_income,0.011709839208494024,Weak
annuity_income_ratio,0.011461294105345897,Weak
credit_goods_ratio,0.009863914736731415,Weak
id_publish_years,0.009158414554060912,Weak
ext_mean,0.009076351966859773,Weak
contact_count,0.008814478289303318,Weak
credit_income_ratio,0.008360579886700093,Weak
ext_min,0.008251694667422583,Weak
total_credit_exposure,0.008058600462795948,Weak
num_accounts_PL,0.007816620767880061,Weak
max_application_amt,0.007414176145846571,Weak
avg_application_amt,0.007092431969667703,Weak
total_tradelines,0.006420847245424271,Weak
goods_income_ratio,0.006417069458250935,Weak
total_closed_tradelines,0.0063196515673886785,Weak
registration_years,0.006311944672630332,Weak
active_pct_tradelines,0.006298565037554127,Weak
total_exposure_PL,0.006060060153147064,Weak
debt_to_utilization_ratio,0.00596241111142793,Weak
avg_credit_amt,0.005710386126354169,Weak
avg_debt_per_tradeline,0.00553468152817697,Weak
total_debt_CC,0.0049565289824464375,Weak
total_debt_PL,0.004762096893096342,Weak
social_default_cnt,0.004278868023386911,Weak
utilization_CC,0.004080215710748568,Weak
total_debt,0.0039119470871956715,Weak
num_cancelled,0.0031096385496351044,Weak
utilization_PL,0.003093681800927969,Weak
total_credit_enquiries,0.0028901129154380997,Weak
own_car_age,0.0024196754640513135,Weak
active_cc,0.0023282989097240855,Weak
owns_house,0.002194411878647668,Weak
count_family_members,0.0019408117231826387,Weak
total_active_tradelines,0.0019327534711731523,Weak
social_risk_ratio,0.0019325701377600135,Weak
total_exposure_CC,0.0015461026089167787,Weak
children_ratio,0.001410245690852231,Weak
num_accounts_CC,0.0012327475700176333,Weak
active_pl,0.0006491897596304076,Weak
total_exposure_AL,0.0005221896351111917,Weak
enquiry_L1M,0.00016807455671431477,Weak
own_car_age_missing,0.0001248039097689333,Weak
owns_car,0.0001179050106546832,Weak
num_accounts_AL,0.00011129500096178572,Weak
high_credit_hunger_flag,7.752087076807625e-05,Weak
avg_credit_overdue_days,0.0,Weak
max_dpd_l1m,0.0,Weak
PL_cnt_30dpd_l3m,0.0,Weak
PL_max_dpd_l3m,0.0,Weak
total_30dpd_l1m,0.0,Weak
PL_cnt_30dpd_l12m,0.0,Weak
CC_cnt_30dpd_l6m,0.0,Weak
on_us_cnt_30dpd,0.0,Weak
credit_prolongation_count,0.0,Weak
max_credit_overdue_days,0.0,Weak
on_us_cnt_60dpd,0.0,Weak
CC_max_dpd_l6m,0.0,Weak
on_us_cnt_90dpd,0.0,Weak
CC_max_dpd_l12m,0.0,Weak
CC_max_dpd_l3m,0.0,Weak
max_dpd_l6m,0.0,Weak
max_overdue,0.0,Weak
total_debt_HL,0.0,Weak
PL_cnt_30dpd_l1m,0.0,Weak
PL_max_dpd_l12m,0.0,Weak
ever_delinquent_flag,0.0,Weak
PL_max_dpd_l6m,0.0,Weak
max_dpd_l3m,0.0,Weak
active_hl,0.0,Weak
total_overdue,0.0,Weak
CC_cnt_30dpd_l12m,0.0,Weak
CC_max_dpd_l1m,0.0,Weak
PL_max_dpd_l1m,0.0,Weak
active_al,0.0,Weak
num_accounts_HL,0.0,Weak
PL_cnt_30dpd_l6m,0.0,Weak
utilization_HL,0.0,Weak
utilization_AL,0.0,Weak
total_30dpd_l3m,0.0,Weak
total_debt_AL,0.0,Weak
total_exposure_HL,0.0,Weak
total_30dpd_l6m,0.0,Weak
